,,,,,,,,Misclassification subclasses,,,,,,
21,1,0,158185,We had a standard twin which was small but clean and nice fine for 1 night stay Had to look for the bathroom which is hidden behind cupboard doors but we thought it was a quirky idea Unfortunately i am unable to add photos to show you Staff were very friendly and helpful Would love to see the wizard enchanted rooms The biggest croissant i have ever had There wasn t anything Only thing i would say is that it took a little while to find our room as the fire door to our corridor was not numbered,,1,,,,,,,,
22,2,1,315827,check in at 3pm rooms not like the pictures from booking and smaller,,,1,,,,,,,
23,1,0,222452,The staff were friendly The room was big and comfy Location was perfect The carpet upon arrival into our room was soaked and heavily stained The shower pressure was minimal even on max The shower tub creaked alot also The beds moved easily you could not even lean on them And the room was freezing even when the heating was put up to 26,,,1,,,,,,,
24,1,0,360754,Great location good breakfast And the small double room was spacious enough,,,1,,,,,,,
25,0,1,151081,The location was excellent within walking distance of the Albert Hall and Kensington gardens,,,1,,,,,,,
26,1,0,170097,The location and the staff is great The room was very clean and quiet It is a very nice alternative if you want to stay in a small and well decorated hotel in the centre of London The elevator broke and we were on the 4th floor But the help from staff covered this Another thing is that even though we emailed the facility and confirm the total rate including taxes or any extras we have not been informed that we needed to pay 200 GBP deposit per night We were on a business trip and didn t have that amount of money with us The reception was not very helpful on this matter but after a long discussion we managed to lower the deposit 100 GBP per night,,,1,,,,,,,
27,1,0,82109,Nice and modern rooms were a good size quite a walk to the centre of Paris but no so bad when using the underground,,,1,,,,,,,
28,0,1,56662,Clean and comfortable room friendly helpful staff lengthy wait at check in,1,,,,,1,,,,
29,2,1,151330,Location and Hotel,1,,,,,1,,,,
30,1,0,125860,Overall very pleased with the hotel Room amenities,1,,,,,1,,,,
31,0,1,296977,Location Nothing,,1,,,,,,,,
32,2,1,165523,Great location nice comfortable lobby Strong water pressure in shower Long line during check in Super slow free internet Terrible mobile signal for O2 Super small bathroom in their standard single rooms No lock on the bathroom door if you re a woman traveling alone an extra look is important Paper thin walls I kept hearing people walking to their rooms talking and doors slamming all night long Check out staff were not really nice I guess once you ve paid they no longer felt the need to be polite,,,1,,,,,,,
33,1,0,285908,The room was thorougly cleaned with fresh towels every day We got coffee and tea in the room loved the bathroom Our room was on the First floor we could hear noise from the Metro and from the street but great location though The water had chlorine smell like from the pool and isn t good for drinking,,,1,,,,,,,
34,2,0,512060,Breakfast was good one of our rooms was upgraded to a bigger suite one station away to train station walking distance to the palace two supermarket nearby It says it s with AC but when we tried to switch it on it looks like it s locked from central control When ask hotel staff they said they are fixing it But the fans in the room shows hat they are not honest to be honest it wasn t hot at night Just be prepared the AC won t be working,,,1,,,,,,,
35,0,1,396159,Restaurant was excellent as was the executive lounge and overall service Room was cold and dingy,1,,,1,,,,,,
36,1,2,227774,Staff were polite and helpful The location wasn t good for wanting to see New Years Eve Fireworks,,,1,,,,,,,
37,1,0,184119,Staff were extremely helpful and pleasant Windows in the room were old and flimsy and let draughts in particularly the bathroom window,,,1,,,,,,,
38,2,0,125133,I liked the rooms on the upper level I booked a 2 night stay Never like the ground room I was placed in on arrival But this was fairly resolved for my next day stay with a king size suite complemented by the manager,1,,,,1,,,,,
39,0,1,61297,Felt like home from home Nothing I didn t like,,,1,,,,,,,
40,2,1,59908,Eggs florintine were the best and brekkie is a must That parking is not included and that my booking was not as I intended I booked triple room for 3 with brekkie but it showed up as room for one with brekkie and I had to pay another 35,,1,,,,,,,,
41,1,0,315049,Very beautiful place close to U Bahn so access to Vienna city is very good Hotel room was clean Staffs are nice they also serves upgrade when the upper rooms are not available How can you say this hotel is bad Good breakfast but really expensive,,1,,,,,,,,
42,0,1,352910,Location was good Enjoyed the ambience I can t think if anything,,1,,,,,,,,
43,2,1,68087,Room We heard a couple having sex in the room next door and they kept us up all night,,,1,,,,,,,
44,0,1,116537,Really handy central but quiet location,,,1,,,,,,,
45,1,0,417370,Everythijf Nothing,,1,,,,,,,,
46,1,0,312174,The shower was good How far from city centre,,1,,,,,,,,
47,1,0,385115,Reliable wifi and air conditioning Good size TV Superior marble faced bathroom Carrefour supermarket and restaurants nearby Helpful reception Double glazing so a nice quiet room if the neighbours are cooperative A little variation in the breakfast buffet would be appreciated Tranquility levels at night are overly dependent on the consideration of neighbouring guests i e thin walls Removing the card key doesn t switch off the air conditioning when you leave which wastes energy Would prefer the fridge to be empty so I don t have to remove minibar items to put my own in,,"0,7","0,3",,,,,,,
48,1,0,480071,Location ans staff No comments,,1,,,,,,,,
49,1,0,228891,Excellent shower and cosmetics They need to have change ready at reception,,"0,5","0,5",,,,,,,
50,1,0,125686,The staff were so friendly and polite One of the best hotels I ve ever stayed in by far Need more parking spaces although we did manage to park outside the hotel on the road for free anyway,,"0,5","0,5",,,,,,,
51,1,0,456211,Bed great No exhaust fan in bathroom,,"0,5","0,5",,,,,,,
52,1,0,211881,Great location for our visit to the a Royal Albert Hall also Science Museum and Natural History Museum directly opposite if we d had the time to visit Pleasantly surprised to gave a ground floor room with French doors and a small terrace,1,,,,,1,,,,
53,1,0,162345,I stayed at this hotel in November 2016 It was a really nice experience First of all I arrived at the hotel at 11 30 I asked about early checking in my comments while booking but there was no guarantee Smiling lady from the reception kept me amused with conversation for the half hour while my room was preparing At 12 00 I had a rest in my room and my early check in was absolutely for free I would like to say that all staff was nice and friendly My room was small but clean quite comfortable and there was a very good big enough and well equipped bathroom Towels were extremely white and soft Shower cabin had a tropical rain option and it was a pleasant addition to the standard facilities There was also mini bar with free of charge snacks and a bottle of water which were delivered every day Another pleasant surprise was an international plug it was truly convenient to be independent of power adaptor And another one and very important advantage was location The hotel was perfect situated in London City and had the best value for money The only problem I faced during my staying was almost absent wardrobe I believe the problem could be partly solved with nailing a board with 3 4 hooks for cloths plus several shoulders By the way additional shoulders were given to me immediately when I asked about it,,1,,,,,,,,
54,1,0,46718,The most confirmable bed I have ever slept in Good location close to tube station and short walk from Euston,1,,,,,1,,,,
55,0,1,152030,Enormous comfy room with 4 Windows beautifully furnished and finished The common areas are very dark but overall super stylish hotel,,"0,8","0,2",,,,,,,
56,2,1,347064,personal care location surrounds,1,,,,,,1,,,
57,0,1,305588,Spacious room Location is not very convenient No service of calling taxi for guest,1,,,,1,,,,,
58,1,0,163177,I really appreciated the kindness of the staff they were extremely helpful and friendly Also the location was nice the neighbourhood classy and it provides easy access to metro Arc de Triomphe and main sightseeings Many restaurants and boutiques around as well The rooms are a bit old except for the bathroom for a 4 star hotel but otherwise comfortable I would say it s a 3 star hotel with aspirations to 4,,"0,3","0,7",,,,,,,
59,2,1,62551,The closeness to Paddington Station is a real bonus and there are numerous small inexpensive restaurants in the area The room was small and awkward because the bed took up almost all the space in the room,,"0,5","0,5",,,,,,,
60,1,0,432149,Great breakfast but the restaurant for meals was a little lacking in variety The atmosphere on the terrace was outstanding with views all over Barcelona Staff were very helpful and obliging although on one day our room wasn t serviced Never had a bed linen change in the 5 nights we stayed,,"0,5","0,5",,,,,,,
61,0,1,36816,Mirror on the door which reflects you on the toilet is bizarre,1,,,1,,,,,,
62,1,0,284903,Location convenient to metro stops and easy walking distance to conference venue Our junior suite had 2 twin beds versus a queen or king size bed,,1,,,,,,,,
63,1,0,31887,They remember me No bar facility,,"0,5","0,5",,,,,,,
64,1,0,325942,Its not my first time in Ambasciatori hotel and I hope its not my last very good team there good facilities and comfortable rooms all you need is in the room which make it very convenient to you and family in the heart of Doumo with easy access to shopping and good restaurants all is good nothing not to like,1,,,,,1,,,,
65,2,1,190441,Breakfast room and bar area nice Reception is glitzy and nice Was there with a group and everyone complained the rooms were too hot as air conditioning in rooms not working properly I had an engineer up who said it was on heating I asked for the window to be opened and he had to remove 5 screws I think it s a cost saving measure as other guests complained at reception Bathrooms could do with an overhaul,"0,5","0,5",,"0,5",,,,,,
66,1,0,211757,Friendly staff and the bed was very comfortable,1,,,,,1,,,,
67,1,0,483798,Love the breakfast also the happy hour Thanks again for the upgrade I love staying at your hotel When I asked if I could still get the bus across the street to the airport it would have helped a lot if I was also told that the Malpensa bus was now on the other side of the station,,1,,,,,,,,
68,2,0,273085,Breakfast was poor for a 4 star hotel,,,1,,,,,,,
69,1,0,249447,Quirky room great decor Breakfast was a little odd as there were not the hot options one would normally expect ie bacon sausage etc,,,1,,,,,,,
70,1,0,402446,Beautiful large room great looking modern feel incredibly good location and very friendly staff When booking my search was specifically for a central hotel with parking provided The booking said parking is possible on site reservation is not needed and costs Euro24 per day However when we arrived having to leave the car in a loading bay the receptionist seemed surprised we wanted parking and could only direct us to nearby public parking buildings costing either 30 or 50 euros per day,,,1,,,,,,,
71,2,1,481184,Location Breakfast Bed You have real plumbing problem Bad smell gets into toilet I tried 2 rooms on 2 visits and faced the same problem Room cleaning service is poor They miss lot of issues on no of days during my 15 days stay Drinking water bottle is not supplied until requested Over all toilet maintenance is problematic,,,1,,,,,,,
72,1,0,149013,Good location very nice rooms The room was a bit hot as the air conditioning wasn t working very well,,,1,,,,,,,
73,1,0,226204,In a perfect location at a considerably lower cost and with excellent transport for a London trip It really needs the new car park only 4 hrs on street parking and no other car parks We used justpark and paid to use someone s drive,,1,,,,,,,,
74,1,0,262470,Location is perfect for business trip direct tube line from Heathrow and easy to get from the hotel to any place in central London Nice pub downstairs The standard room is really small interrior needs some renovation But price quality ration is good compared to other hotels in the area,,1,,,,,,,,
75,1,0,218038,Check in was easy On day of arrival with early checkin No problem Roland at concierge right away helped us with museum tickets and put us on a waiting list for the Anne Frank house It was sold out for two week past our visit date He put us on a waiting list He suggested an evening dinner cruise which was very nice We liked everything,1,,,,,1,,,,
76,0,1,260563,The room was clean quiet and the bed was very comfortable It would have been better to have breakfast included,,1,,,,,,,,
77,1,0,336795,Perfekte Lage in stadtzentrum,,,1,,,,,,,
78,0,1,71534,The breakfast was great and the staff was very good too guided us around well there was also activities for kidz to do overall a grt stay,,,1,,,,,,,
79,0,1,240859,Comfortable beds lovely staff excellent breakfast Air con didn t work well,1,,,1,,,,,,
80,2,0,510972,Location to Wien Hbf Main station Room surprising well sound insulated from outside noise and given how busy the main road is and that I was facing that way I was not disturbed at all Also bedroom had an inner door which when shut cut down on noise in the corridor as well so a good night sleep was had Breakfast buffet is very varied I have stayed here some years ago before the days of Booking com so I had a good idea of what to expect anyway,1,,,"0,5",,"0,5",,,,
81,1,0,139775,Good breakfast Room surprisingly quiet for London and it was possible to have the window open Proximity to Tate Britain and Pimlico tube Room very small and cramped but only one night,,,1,,,,,,,
82,2,1,262772,Breakfast will keep one going for the rest of the day A huge selection full English or Continental or both A BATHMAT provided not in any hotel so far visited Bath still too narro foe elderly a coffin bath once in Can t get out Bar prices 2 hot dogs 2 beers with 10 service charge 20 ouch,,1,,,,,,,,
83,1,2,350295,Rooms were clean and comfortable Reception was always busy Had to wait a long time even to ask a question,,,1,,,,,,,
84,1,0,150117,Staff location All good,1,,,,,,1,,,
85,2,0,276403,Providing water in toilet,,,1,,,,,,,
86,1,0,172985,Very friendly and efficient staff The missing hair dryer was replaced within minutes The heating System,,1,,,,,,,,
87,1,0,109893,We liked the location the lifts and the scrambled eggs Oh and the Christmas tree The shower,1,,,,,1,,,,
88,2,0,82573,WiFi the sinal down very much The air conditioning did not work,,,1,,,,,,,
89,2,1,90441,Staff were good and rooms were nice Next to Gare de Lyon train station Was informed not to make booking through Booking com as the hotel doesnt get proper info I e Booked room for 2 adults and 2 kids and booking they received was for only 2 adults,1,,,,,1,,,,
90,2,0,483521,Location and the room THERE ISNT A RESTORANT,,,1,,,,,,,
91,1,0,504388,I have been quite a few times to your hotel I was travelling with my 85 year old mother for her birthday mothers day I was also with her 87 year old partner The staff were all amazingly helpful I borrowed a wheel chair so I could take my mum to St James s park We had a wonderful day and stay We will be returning soon Absolutely nothing everything was excellent,1,,,,,1,,,,
92,1,0,81873,Lovely hotel Lovely staff lovely food A drunk guest banging on my door after midnight,,,1,,,,,,,
93,1,0,490583,Very professional and efficient reception personnel Very nice breakfast service Excellent location close to everything It was a great service for all extra requests we had during our stay Also liked the PECK food store just the next door from the hotel Small and slow elevator cabin just for 2 so recommend 1st and 2nd floor to use stairs more You may find rooms facing the street bit noisy if you keep a window open due to the tram line but it is a good way to wake up for a busy day ahead,,,1,,,,,,,
94,1,0,78504,Extremely well located for the conference I attended at Olympia about a 15 minute walk but with plenty of public transport as an option Public areas warm and welcoming as were the staff knowledgable and helpful Unlike other reviews my room was very spacious with an extremely comfy very large bed Although I paid the extra for a double room My only niggles are having to pay for everything in the room i e Biscuits bottled water etc and no bath Definitely not deal breakers so I will be back,,1,,,,,,,,
95,0,1,74067,The Staff was great and extremely accommodating Not exactly where in Kensington that I wanted to be Not much around but the tube station was about a 8 10minute walk away,1,,,1,,,,,,
96,1,0,35249,location breakfast,,1,,,,,,,,
97,1,0,251096,The rooms are very modern and very clean The hotel has a very pretty and romantic feel to it Was unique and cute Didn t have the chain hotel feel to it which I like The most comfy bed   The only think that I would have liked would be a bath,,,1,,,,,,,
98,1,0,199180,Location is excellent just a few minutes from London Bridge Station Borough Market Tower Bridge and Southbank Lots of cafes and restaurants nearby Friendly helpful staff especially Angelica and Mustafa on reception Hotel breakfast is in Jamie s which is part of the hotel Choice and quality of food was very good   Bar prices very high even for London Although the food at Jamie s was good we felt the restaurant was understaffed We had quite a wait for tea and coffee both mornings and tables were left uncleared More staff on duty would resolve this Shower is over the bath which means space is a bit restricted Minor point we thought hotel was a bit stingy with the toiletries left in the bathroom as there was only enough for one person although it was a double room,,,1,,,,,,,
99,1,0,55107,Definitely I will come back,1,,,,,,1,,,
100,2,1,17490,Locatiom  No water in room on second and third days,,,1,,,,,,,
101,1,0,417412,Staff were excellent and brilliant facilities   Charged 300 for the room when price on booking com app was 210 although still cheaper than usual price,,,1,,,,,,,
102,0,1,396429,Bed was comfortable with beautiful views Scenic breakfast lounge and many excellent restaurants in the area,,,1,,,,,,,
103,0,1,316204,I liked the style of the hotel the room was comfortable and uniquely designed Typically hotel rooms are very plain i e neutral colors typical layout I thought that the room looked nice The layout wallpaper and furniture arrangement was visually pleasing The staff was also friendly and helpful   I did not love the location the building was a little confusing at first,1,,,,,1,,,,
104,2,1,105673,Nice lobby and staff good bar and reasonable breakfast restaurant   Some decoration was so poor it was only fit for a 2 or even 1 star hotel,1,,,1,,,,,,
105,,,,,,,,7,2,"14,5",3,,,
106,,,,,,,,"26,42%","7,55%","54,72%","11,32%",,,
107,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,
